judul,tanggal,sentimen
Ini 10 Saham yang Dibuang Asing Saat IHSG Cerah,2024/08/02,negatif
Pertemuan SEC dan XRP (Ripple) Bikin Pasar Kripto Memerah,2024/08/02,negatif
"Fed Efect Memudar, Wall Street Makin Merana",2024/08/02,negatif
"Daftar Terbaru Bank Bertumbangan di RI, Diam-Diam Sudah 14 Tutup",2024/08/03,negatif
"Ada yang Ditutup, Cek Daftar Terbaru 98 Fintech Lending Berizin OJK",2024/08/03,netral
Erick Thohir Beberkan 92% Proyek Strategis Kementerian BUMN Beres,2024/08/03,positif
"Rekening Langsung Ludes, Kenali Modus Baru Maling M-Banking",2024/08/03,netral
"TNI Temukan Harta Karun Emas Soekarno di Sukabumi, Begini Nasibnya",2024/08/03,netral
"Pria Amerika Ikut Anjuran Nabi, Kini Kaya Raya Berharta Rp 123 T",2024/08/03,netral
Awas! KTP dan Foto Wajah Bisa Dipakai Orang Lain Buka Rekening Pinjol,2024/08/03,netral
Nasabah Prirotas BCA-BRI-BNI-Mandiri Wajib Punya Duit Segini Minimal,2024/08/03,netral
"Gokil! Brand Value BRI Meroket 30% Jadi USD 11,25 Miliar",2024/08/03,positif
"Kasus Suap Raja Minyak Terbongkar, 5 Mantan Petinggi Terseret",2024/08/03,negatif
"China Mau Gusur Boeing dan Airbus, Begini Taktiknya",2024/08/03,netral
"Gak Kira-Kira, Laba BUMN RI Melejit 2.415% Jadi Rp 327 Triliun",2024/08/04,positif
BRI Borong 4 Penghargaan di Malam Apresiasi Emiten 2024,2024/08/04,positif
"Berkat Bitcoin, Negara Kecil Ini Jadi yang Paling Kaya di Dunia",2024/08/04,netral
"Warren Buffett Jual 50% Saham Apple, Tumpukan Uang Kas Menggunung",2024/08/04,negatif
"Kondisi Intel Ngeri! Saham Ambruk, Tidak Bisa Bayar Dividen, & Mau PHK",2024/08/04,negatif
"Awas Rekening Ludes Sekejap, Catat Cara Mudah Hindari Maling M-banking",2024/08/04,netral
"Batal Maju ke Pilgub DKI, Jusuf Hamka Ternyata Sosok Penyelamat Astra",2024/08/04,netral
"Berlaku 2024, Segini Saldo Minimum Rekening BCA, Mandiri, BNI, & BRI",2024/08/04,netral
Kisah Orang Jepang di RI Gagal Jadi Konglomerat karena Ulah Istri,2024/08/04,netral
"Bukan Cuma Resesi AS, Ini Biang Kerok Ambruknya Bursa Dunia",2024/08/05,negatif
"Ancam Pakai Kata Kasar, 573 Debt Collector Diadukan ke OJK",2024/08/05,negatif
"Breaking! Ancaman Resesi Mencuat, Bursa Wall Street Dibuka Anjlok",2024/08/05,negatif
Ini yang Bikin Warga RI Sasaran Empuk Maling M-banking,2024/08/05,netral
"Tok! Keluar dari Daftar Hitam, Waskita Karya Bisa Ikut Tender Lagi",2024/08/05,positif
OJK Kasih 2.379 Sanksi ke Industri Keuangan per Juli 2024,2024/08/05,negatif
"OJK: Masih Ada yang Bermasalah, BPR Tutup Tahun Ini Akan Bertambah",2024/08/05,negatif
"IHSG Ambruk 3,4%, Begini Ramalan Bos OJK ke Depan",2024/08/05,negatif
Ini Alasan OJK Maju Terus Lawan Kresna Life di Meja Hijau,2024/08/05,netral
Saham FORU dan KARW Meroket Karena Mau Dicaplok? Bos OJK Buka-Bukaan,2024/08/05,positif
Bursa Berjangka AS Terkapar Jelang Pembukaan Wall Street,2024/08/05,negatif
"Black Monday IHSG Ambruk 3,4% & Nyaris Kena Trading Halt",2024/08/05,negatif
"Saham Mulai Ditinggalkan, Investor Lari ke Kripto? Bos OJK Buka Suara",2024/08/05,netral
OJK Lapor Aset Industri Asuransi RI Capai Rp 1.126 T per Juni 2024,2024/08/05,netral
"KOSPI Turun Tajam, Korea Selatan Hentikan Perdagangan Saham",2024/08/05,negatif
OJK: Restrukturisasi KUR Pakai Aturan Lama,2024/08/05,netral
"Transaksi Kripto RI Tembus Rp 301,75 T di 2024, Naik 3 Kali Lipat",2024/08/05,positif
"IHSG Ambruk 4% Lebih, Menko Airlangga: Jangan Khawatir!",2024/08/05,negatif
IHSG Anjlok 4% Lebih Perlu Trading Halt? Ini Kata BEI,2024/08/05,negatif
"Indikator Ini Buka Peluang AS Resesi, Dolar Turun ke Rp 16.180",2024/08/05,positif
"Total Pinjaman Pinjol Tembus Rp 66,69 Triliun per Juni 2024",2024/08/05,netral
Dua Emiten Syariah Ini Akan Dikeluarkan dari Daftar Efek Short Selling,2024/08/05,negatif
"Investor Panik Ekonomi AS di Ambang Bahaya, Pasar Eropa Kebakaran",2024/08/05,negatif
"Demi Jaga Kualitas Kredit, Bank Rela Cuan Terkikis",2024/08/05,netral
"Saham Intel Cs Ambruk, Uang US$ 1 Triliun Lenyap di Wall Street",2024/08/05,negatif
"Tahun Ini Sudah Rp 129,9 Triliun Dana Terkumpul di Pasar Modal",2024/08/05,positif
"Penyaluran Kredit Juni 2024 Tumbuh 12,36%, Investasi Jadi Primadona",2024/08/05,positif
"Sederet Masalah Ini Bikin Bos OJK Was-was, Simak!",2024/08/05,negatif
Asing Ramai-Ramai Borong Saham dan SBN RI di Juli 2024,2024/08/05,positif
"Dunia Gonjang-Ganjing, Ini Catatan OJK",2024/08/05,netral
"Bursa Saham Dunia Jepang Hingga AS Ambruk Berjamaah, Ini Penyebabnya",2024/08/05,negatif
"IHSG Turun Makin Parah, Sudah Ambruk 4% Lebih",2024/08/05,negatif
"IHSG Ambruk 3,74%! Ini Pandangan Analisis",2024/08/05,negatif
Komentar Bankir Soal Likuiditas: Bukan Kering tapi Mahal,2024/08/05,netral
Breaking News! IHSG Ambruk 3% di Sesi II,2024/08/05,negatif
"Kacau! Bursa Jepang Anjlok 13%, Korsel dan Taiwan Ambruk 8% Lebih",2024/08/05,negatif
"Merger dengan Commonwealth, OCBC Mau Buyback Saham Rp 1.230",2024/08/05,positif
"Ekonomi RI Tumbuh 5,05%, tapi IHSG Tetap Ambruk Nyaris 2%",2024/08/05,negatif
"Bitcoin-Ethereum Ambruk, Rp 4.400 Triliun Lenyap dalam 24 Jam",2024/08/05,negatif
"Pasar Ambruk Gara-Gara The Fed, Investor Perlu Panik?",2024/08/05,negatif
"Wajib Baca, Ini Perbedaan Rupiah Digital dan Uang Elektronik",2024/08/05,netral
"Melesat 59% Sebulan, Bursa Pantau Ketat Pergerakan CBUT",2024/08/05,negatif
"Ketakutan Jokowi di Akhir Jabatan Makin Nyata, Bankir Teriak Gini",2024/08/05,negatif
"Jadi Perusahaan Pembayar Pajak Terbesar, BRI Diapresiasi Oleh Negara",2024/08/05,positif
"Ancaman Resesi AS Buat IHSG Makin Hancur, Sudah Ambruk 2%",2024/08/05,negatif
"PTBA Diversifikasi Bisnis Batu Bara, Bidik Peluang Sektor Baterai",2024/08/05,positif
Bayang-Bayang Resesi AS Bikin IHSG Ambruk 1% Lebih,2024/08/05,negatif
"Data Ekonomi AS Melemah, Harga Minyak Rawan Koreksi!",2024/08/05,negatif
Ini Alasan Bitcoin Ambruk Ke US$ 53.000 & Ethereum Anjlok 20%,2024/08/05,negatif
"Pelaku Pasar Khawatir, Dolar Turun ke Rp16.170",2024/08/05,negatif
"Breaking! Investor Cemas Resesi AS, IHSG Dibuka Ambruk 1,44%",2024/08/05,negatif
"Sirene Resesi AS Mulai Menyala, Bursa Jepang Ambruk 7%",2024/08/05,negatif
"Harga Saham Meroket, BEI Suspensi Perdagangan SMDM",2024/08/05,negatif
"Prospek Suku Bunga Turun Makin Terang, Rupiah Potensi Menguat?",2024/08/05,positif
Asing Terciduk Diam-Diam Lepas 10 Saham Ini Pekan Lalu,2024/08/05,negatif
Robert Kiyosaki Ungkap 9 Beda Gaya Investasi Orang Kaya & Orang Miskin,2024/08/05,netral
"Gonjang-Ganjing AS Goyang Pasar Kripto, Bitcoin Ambruk ke US$ 58.000",2024/08/05,negatif
"Asing Net Buy Rp 2,67 T Pekan Lalu, Kompak Borong 10 Saham Ini",2024/08/05,positif
"Habis Ambruk Kemarin, Wall Street Malam Ini Kompak Dibuka Rebound!",2024/08/06,positif
"Nasib 7 Multifinace Menghitung Hari, OJK Pertimbangkan Cabut Izin",2024/08/06,negatif
"Tanpa Asuransi Wajib Mobil & Motor, Segini Kerugian Warga RI",2024/08/06,negatif
"Belum Ada Setoran Modal, OJK Bakal Tutup Investree?",2024/08/06,negatif
Ada 19 Perusahaan Pinjol P2P Lending Punya Kredit Macet Tinggi,2024/08/06,negatif
"KPR Ditolak karena Tidak Bayar Pinjol, Begini Cara Mengatasinya",2024/08/06,netral
"Revisi Target, Segini Proyeksi Laba Mitratel (MTEL) di 2024",2024/08/06,netral
"Donald Trump atau Kamala Harris Menang Pilpres AS, Bagaimana Nasib RI?",2024/08/06,netral
"Genjot Bisnis 3T, Mitratel Andalkan BTS Terbang",2024/08/06,positif
CIMB Niaga (BNGA) Bidik Rp 70 T dari Bisnis Dana Kelolaan,2024/08/06,positif
"Ngekor Bursa Asia, IHSG Ditutup Naik 0,99% & Balik ke 7.100-an",2024/08/06,positif
"The Fed Diproyeksi Pangkas Bunga Dua Kali, Bagaimana dengan BI Rate?",2024/08/06,netral
"Pegadaian Prediksi Harga Emas Sentuh Harga Tertinggi Rp 1,5 Juta",2024/08/06,netral
"Usai Akuisisi Mandiri InHealth, Pendapatan IFG Life Naik 334%",2024/08/06,positif
"Rupiah Dibuka Melemah, Tapi Ditutup Perkasa di Level Rp 16.160/US$",2024/08/06,positif
Pertumbuhan Ekonomi RI Bakal Terseret Kondisi AS,2024/08/06,negatif
"IHSG Hari Ini Rebound & Ngegas 1% Lebih, Ini Penyebabnya",2024/08/06,positif
"Wall Street Lanjut Ambruk, Investor Lego Saham Nvidia Hingga Apple",2024/08/06,negatif
"Profil Nat Rothschild, Teman Prabowo yang Dulu Berseteru dengan Bakrie",2024/08/06,netral
"Riwayat Suspensi IHSG, Ledakan Bom Hingga Black Wednesday",2024/08/06,netral
"Bursa Kebakaran, Harta Konglomerat Dunia Lenyap Rp 724,82 Triliun",2024/08/06,negatif
"Bursa Asia Bangkit, Tapi Kok Singapura Masih Merah Sendiri?",2024/08/06,negatif
"Bank Artha Graha Internasional (INPC) Kena Sanksi Regulator, Apa Itu?",2024/08/06,negatif
"Petaka Bawa Berkah, Ini Alasan Resesi Bisa Cetak Orang Kaya Baru",2024/08/06,netral
OJK Sanksi 2 Manajer Investasi & 1 Emiten Nakal Rp 475 Juta,2024/08/06,negatif
"Black Monday Guncang Pasar Modal Dunia, Petaka 1987 Terulang?",2024/08/06,negatif
"Tiga Hari Koreksi, Harga Minyak Mentah Hari Ini Rebound",2024/08/06,positif
"84 Calon Emiten Antre IPO, Incar Dana Rp 11,58 Triliun",2024/08/06,positif
"IHSG Rebound & Melesat 1% Lebih, Pangkas Koreksi Black Monday",2024/08/06,positif
"Pertumbuhan Ekonomi RI Melambat, Rupiah Dibuka Melemah",2024/08/06,negatif
"Selain BTN, OJK Buka Opsi Investor Lain Bagi Bank Muamalat",2024/08/06,netral
"Bursa Asia Rebound, Nikkei Pimpin Kenaikan!",2024/08/06,positif
"Bitcoin Cs Mulai Rebound, Pasar Kripto Ada Harapan?",2024/08/06,positif
"IHSG Kebakaran, Asing Kompak Lepas 10 Saham Ini",2024/08/06,negatif
"BEI Keluarkan BRIS & BTPS dari Saham Margin & Shortsell, Ini Kata OJK",2024/08/06,netral
Apa Itu Carry Trade Yen? Pendulum di Balik Ambruknya Pasar Keuangan,2024/08/06,netral
"Pasar Minta The Fed Percepat Cut Rate, Rupiah Bisa Menguat?",2024/08/06,netral
"Asing Borong 10 Saham Ini di Hari Terburuk IHSG, Ada BMRI & BBNI",2024/08/06,positif
"Bursa Wall Street Lanjutkan Penguatan, Saham Teknologi Memimpin Pasar!",2024/08/07,positif
Saat Kerajaan Bisnis 3 Dekade Salim Runtuh Sekejap,2024/08/07,negatif
"Pasar Jelek, Mandiri Sekuritas Tak Bawa Emiten IPO Tahun Ini",2024/08/07,negatif
"The Fed Diprediksi 2 Kali Pangkas Suku Bunga, BI Cuma Sekali",2024/08/07,netral
"OJK Terima 160 Pengaduan SPayLater, Paling Banyak Soal Ini",2024/08/07,negatif
"OJK Terima 10.104 Aduan Entitas Keuangan Ilegal, Paling Banyak Pinjol",2024/08/07,negatif
"Semester I-2024 Naik 104,9%, Mitratel (MTEL) Bakal Genjot Bisnis Ini",2024/08/07,positif
"Evergrande Bangkrut, Pendiri & Eks CEO Dipaksa Balikkan Uang Rp 97 T",2024/08/07,negatif
"IHSG Hari Ini Melesat 1,16%, Balik Lagi ke Level 7.200-an",2024/08/07,positif
"Klaim Pengangguran AS Turun, Nasdaq - S&P 500 Dibuka Menguat!",2024/08/08,positif
Pertumbuhan Kredit Bank di RI Tidak Seindah Kelihatannya,2024/08/08,netral
"Daya Beli Warga RI Berantakan, Ternyata Ini Biang Keroknya",2024/08/08,negatif
"IHSG Ditutup Lesu, Saham Salim (AMMN) Jadi Beban Terbesar",2024/08/08,negatif
"Ini Alasan Warren Buffett Timbun Uang Tunai Rp 4.461,36 Triliun",2024/08/08,netral
"Sudah Nyerok Rp 198,4 M, GOTO Mau Buyback Saham Lagi Rp 3 T",2024/08/08,positif
"Dolar Bisa Kembali Sentuh Rp 15.800, Begini Analisanya",2024/08/08,netral
"Cadangan RI Makin Gemuk, Dolar Anjlok ke Rp15.890/US$",2024/08/08,positif
Penjualan Mobil Toyota & Daihatsu Digempur Barang China,2024/08/08,negatif
"Wall Street Dibuka Koreksi, Gagal Happy Weekend?",2024/08/09,negatif
"Daftar Terbaru Saldo Minimum Bank BCA, Mandiri, BRI, dan BNI",2024/08/09,netral
Kebiasaan Warga RI Ternyata Bisa Bikin Miskin Menurut Lo Kheng Hong,2024/08/09,netral
OJK: Baru 22% Penyandang Disabilitas di RI Tersentuh Perbankan,2024/08/09,netral
Cek Beda Rupiah Digital dan Uang Elektronik,2024/08/09,netral
"Kinerja Rupiah Terbaik di Asia Gara-Gara Yen Jepang, Kok Bisa?",2024/08/09,netral
Bankir Beberkan Bukti Baru Soal Isi Kantong Warga Kelas Menengah Ri,2024/08/09,netral
"Sentimen Kembali Membaik, IHSG Ditutup Happy Weekend",2024/08/09,positif
"Umur 7 Multifinance Modal Minim Menghitung Hari, OJK Buka Suara",2024/08/09,netral
Kripto Bisa Jadi Agunan Bank? Ini Kata Bos OJK,2024/08/09,netral
"Patahkan Tren Penguatan 7 Hari Beruntun, Dolar Naik ke Rp15.920",2024/08/09,negatif
"Pinjol Masuk SLIK, OJK: Pinjam Duit Makin Aman",2024/08/09,netral
"Banyak Dibilang Kemahalan, OJK Buka Wacana Sesuaikan Pajak Kripto",2024/08/09,netral
"Setelah Jadi Pengawas Kripto, OJK Akan Lakukan Ini",2024/08/09,netral
Bos OJK Beberkan Soal Formasi Anggota Anti Scam Center,2024/08/09,netral
"Perusahaan Afiliasi KBFG Bakal Borong Saham KB Bank, Ini Bocorannya",2024/08/09,positif
"Cara Buat Ruang Tunggu Grup WhatsApp, Biar Tidak Masuk Sembarangan",2024/08/09,netral
"IHSG Bergairah Jelang Akhir Pekan, 5 Saham Ini Jadi Penopang",2024/08/09,positif
"OJK Bikin Peta Jalan Kripto, 4 Isu Ini Jadi Fokus Utama",2024/08/09,netral
"Transaksi Surat Utang Naik 179,2% di Platform Khusus SPPA",2024/08/09,positif
"Pinjol Masuk SLIK OJK, Bankir Protes Ini!",2024/08/09,negatif
"Otomotif Seret, Pembiayaan Mobil & Motor Adira Finance (ADMF) Turun",2024/08/09,negatif
Bankir Sebut Judi Online Jadi Biang Kerok Daya Beli Warga RI Lemah,2024/08/09,negatif
"Pasar Cerah, IHSG Dibuka Naik 0,66%",2024/08/09,positif
"Penguatan Rupiah Berakhir, Dolar Naik ke Rp15.925",2024/08/09,negatif
"Data Tenaga Kerja AS Membaik, Harga Minyak Naik Tiga Hari Beruntun!",2024/08/09,positif
"Bursa Asia Mayoritas Hijau, Didorong Pasar Tenaga Kerja AS",2024/08/09,positif
"Uang Rp 2.129,12 Triliun Lenyap Begitu Saja Dalam Semalam",2024/08/09,negatif
Nasib Rupiah di Antara Adu Kuat DXY Vs Klaim Pengangguran AS Turun,2024/08/09,netral
"Saat IHSG Kurang Tenaga, Asing Serbu Saham BMRI",2024/08/09,positif
"Boy Thohir Borong Saham Merdeka Copper (MDKA) 30,2 Juta Lembar",2024/08/09,positif
"Rusia Legalkan Penambangan Kripto, Bitcoin Cs Kompak Menguat",2024/08/09,positif
"Saham Jatuh, Asing Banyak Lepas Emiten Salim (AMMN)",2024/08/09,negatif
"Awas! Nunggak Pinjol Bisa Kena Blacklist Bank, Ini Aturan Barunya",2024/08/09,netral
Ekonom Bongkar Kesalahan Besar RI Sebelum Jadi 'Negara Kaya',2024/08/09,netral
"Namanya Masuk-Mau Disanksi Kominfo, Kyrim Bantah Terlibat Judi Online",2024/08/10,netral
"Terjawab Sudah, Alasan Tuyul & Babi Ngepet Tak Curi Uang di Bank",2024/08/10,netral
Pejabat OJK Blak-blakan Pernah Jadi Korban Penipuan Lewat instagram,2024/08/10,netral
"Mimpi Buruk' Jokowi Jadi Kenyataan, Bankir Kompak Teriak Begini",2024/08/10,netral
"Mengenal Keluarga Rothschild, 'Penguasa Dunia' Penuh Teori Konspirasi",2024/08/10,netral
Lengkap! Ini Daftar 12 Bank Bangkrut Sepanjang 2024,2024/08/11,netral
Pejabat IKN Mau Mundur Jika Gagal Hijaukan Istana Garuda dalam 2 Tahun,2024/08/11,netral
"Sosok Bos Alfamart dan Indomaret, Siapa Lebih Tajir?",2024/08/11,netral
Intip 3 Saham Unggulan Tempat Miliarder Bill Ackman Taruh Duit,2024/08/11,netral
Terungkap! Ini Alasan Airlangga Mundur dari Kursi Ketum Golkar,2024/08/11,netral
OJK Rilis Aturan Baru Penerbitan Obligasi-Sukuk Buat Pemda,2024/08/11,netral
"Warren Buffet Timbun Uang Tunai Rp 4.461 T, Siap-Siap Krisis?",2024/08/11,netral
"Investor Yakin Data Inflasi AS Mendingin, S&P500 & Dow Jones Menguat",2024/08/12,positif
Warisan Utang Era Jokowi: Prabowo Harus Bayar Rp800 T Tiap Tahun,2024/08/12,netral
"BI, BEI, KPEI & 8 Bank Bersatu Kembangkan Central Counterparty",2024/08/12,positif
"Investor Gen Z-Millenial Dominasi Pasar Modal, Tapi Aset Paling Kecil",2024/08/12,netral
"Masalah Datang Silih Berganti, Akankah AS Selamatkan Intel?",2024/08/12,netral
"Berkat Deretan Saham Ini, IHSG Berhasil Finish Semringah",2024/08/12,positif
OJK Proyeksi Laba Perbankan Tahun Ini Tidak Setinggi Tahun Lalu,2024/08/12,netral
Bos OJK Optimis NPL Kredit UMKM Aman,2024/08/12,positif
Ini Kabar Terbaru Buyback Saham Bank Commonwealth Oleh OCBC,2024/08/12,netral
"Rupiah Gagal Lanjut Menguat, Dolar Naik ke Rp 15.950",2024/08/12,negatif
"Bank Mandiri (BMRI) Gandeng PTPN III, Salurkan KUR Untuk Petani",2024/08/12,positif
"OJK Ungkap Bakal Ada 3 Calon Emiten dari Sumut, Ini Sektornya",2024/08/12,netral
Antam Bikin Produk Emas Khusus Hari Kemerdekaan,2024/08/12,positif
Bank Neo Commerce (BBYB) Tunjuk Eri Budiono Jadi Direktur Utama,2024/08/12,netral
"Saham HRUM Mendadak Terbang 14% Lebih, Ada Apa?",2024/08/12,positif
"Harga Batu Bara Cetak Rekor, 11 Sahamnya di RI Terbang",2024/08/12,positif
"Jejak 3 IPO Terbesar di Bursa, Gerak Saham Hingga Kinerja Keuangan",2024/08/12,netral
IHSG Berkubang di Zona Merah Terbebani Kinerja 5 Saham Ini,2024/08/12,negatif
"Loker PCPM Bank Indonesia 2024 Dibuka Hari Ini, Cek Cara Daftar-Syarat",2024/08/12,netral
7 Tips Kaya Raya di Samping Kerja Kantoran Ala Robert Kiyosaki,2024/08/12,netral
OJK Sebut MNC Bank-Nobu Belum Laporkan Arah Bisnis Rencana Merger,2024/08/12,netral
Regulator Investigasi Bank Raksasa AS Gegara Rekening Nasabah Dibobol,2024/08/12,negatif
"Indosat (ISAT) Mau Pecah Saham Rasio 1:4, Simak Jadwalnya",2024/08/12,netral
Harga Minyak Mentah Mendidih Disulut Tensi Panas Timur Tengah,2024/08/12,negatif
Bandar Kripto Bangkrut Diminta Bayar Denda Rp 203 Triliun,2024/08/12,negatif
Segini Modal dan Syarat Lengkap Buka Alfamart Sendiri,2024/08/12,netral
Traditional Financee & DeFi Jadi Ancaman? Pasar Kripto Dibuka Merah,2024/08/12,negatif
"Pekan Sibuk, IHSG Dibuka Galau di Sesi Awal Perdagangan",2024/08/12,negatif
"Inflasi AS Dinanti Pelaku Pasar, Dolar Turun Tipis ke Rp 15.915",2024/08/12,positif
Indeks Kospi Dibuka Melejit Didorong Harapan Fed Pangkas Suku Bunga,2024/08/12,positif
"Dukung Bursa Karbon, KB Bank Siap Lakukan Hal Ini",2024/08/12,positif
"Tak Gentar Panic Selling, Rupiah Punya Potensi Lanjut Menguat",2024/08/12,positif
Profil Keluarga Rothschild dan Sumber Kekayaannya,2024/08/12,netral
"Dulu Raja Kain Ikon Penguasa, Sekarang Malah Karam Tertimbun Utang",2024/08/12,netral
Asing Borong 10 Saham Ini Kala IHSG Roller Coaster Pekan Lalu,2024/08/12,positif
"Kisah Rakesh Jhunjhunwala, Investor India Sulap Rp975.000 Jadi Rp94 T",2024/08/12,netral
Cerita Robohnya Kerajaan Bisnis Salim Usai Berjaya 3 Dekade,2024/08/12,netral
Asing Kompak Lego 10 Saham Ini Kala Pasar Bergejolak Pekan Lalu,2024/08/12,negatif
"Terungkap, Ramalan Ini yang Bikin Warren Buffett Timbun Duit Rp4.384 T",2024/08/13,netral
Tuduhan Baru Hindenburg ke Adani Bikin Harta Pemiliknya Lenyap Rp 21 T,2024/08/13,negatif
"Perkuat Anti Fraud, IFG Gandeng BPKP Bentuk Ini",2024/08/13,positif
"Kejagung Tetapkan 1 Tersangka Baru Kasus Timah, Ini Sosoknya",2024/08/13,negatif
OJK Terbitkan Aturan Strategi Anti Fraud Buat Lembaga Jasa Keuangan,2024/08/13,positif
OJK Buka Opsi Merger Pinjol Yang Masih Kurang Modal,2024/08/13,netral
"Skema Ponzi Penipuan Kripto Rp 10 T, Regulator AS Gugat NovaTech",2024/08/13,negatif
"Awasi Bank, OJK Teken Kerja Sama dengan Otoritas Moneter Hong Kong",2024/08/13,positif
Harvey Moeis Jalankan Sidang Perdana Kasus Korupsi Timah Besok,2024/08/13,netral
"IHSG Bergairah Lagi, Balik ke Level 7.300 Ditopang Kinerja Saham BMRI",2024/08/13,positif
"Andalkan Nasabah Tajir, HSBC Gandeng BNP Paribas Luncurkan Reksa Dana",2024/08/13,positif
Bos OJK: Ekonomi AS Sesuai Skenario The Fed,2024/08/13,netral
"Rupiah Makin Perkasa, Nilai Tukar Dolar AS Turun ke Rp 15.830",2024/08/13,positif
"3 Pinjol Ditutup, Ini Daftar Terbaru 98 P2P Lending Berizin OJK",2024/08/13,netral
"William Tanuwijaya Lepas 3,72 Miliar Lembar Saham GOTO, Cuan Berapa?",2024/08/13,netral
"Dorong Investor Optimalkan Strategi, Ajaib Hadirkan Program Top Up 1%",2024/08/13,positif
"Breaking! Rupiah Menguat 0,63%, Dolar Turun Jadi Rp15.850",2024/08/13,positif
Cerita Jusuf Hamka Selamatkan Pendiri Astra dari Kebangkrutan,2024/08/13,netral
"Dear Nasabah, Simak Ketentuan Baru untuk Tabungan BRI",2024/08/13,netral
"Saham Konstruksi Terbang, Gara-Gara WIKA Masuk MSCI?",2024/08/13,positif
Komitmen BRI Dukung Pemerintah Perangi Judi Online di Indonesia,2024/08/13,positif
"IHSG Sesi I Naik 0,62%, Ini Dia Penyebabnya",2024/08/13,positif
"Crypto Wallet Ini Tembus 30 Juta Pengguna, Naik 50% dalam 4 Bulan",2024/08/13,positif
"Kasus Gagal Bayar Ahmad Rafif Rp 71 Miliar, Begini Perkembangannya",2024/08/13,netral
"Cerita Pendiri AQUA, Ternyata Dulu Calon Bos Pertamina",2024/08/13,netral
"""Kiamat"" Kantor Cabang Bank, Ribuan Tutup Sejak 2021",2024/08/13,negatif
Begini Jurus BRI (BBRI) Berantas Judi Online di Indonesia,2024/08/13,netral
"Limit Transfer Terbaru BCA, BRI, Mandiri, BNI",2024/08/13,netral
Ini Dia Aturan Terbaru Terkait Debt Collector,2024/08/13,netral
"Dibahas Jokowi di IKN, Sri Mulyani Buka-bukaan Soal PMI Manufaktur!",2024/08/13,netral
Jokowi Groundbreaking Hotel Mewah Milik Konglomerat Ini,2024/08/13,netral
"Dolar AS Sudah Rp15.000-an, Sri Mulyani Tetap Siaga: Awas Surprise!",2024/08/13,netral
"Waspada Jebakan Penipuan di ATM, Ini Ciri-Cirinya",2024/08/13,netral
Ini Jurus BNI (BBNI) Untuk Mempertebal Laba,2024/08/13,positif
"Dear Trader, Berikut Tips Gunakan Indikator MA untuk Raih Cuan",2024/08/13,netral
"Terungkap! Dalam 20 Tahun, Transaksi Saham RI Naik 2.000%",2024/08/13,positif
19 Sekuritas Minat Fasilitasi Short Selling,2024/08/13,netral
"Jejak Bisnis Prabowo, Investor IKN Berharta Rp 2,04 Triliun",2024/08/13,netral
Bos KSEI Ungkap Saham di Sektor Ini Paling Rajin Bagi Dividen Jumbo,2024/08/13,netral
"Terbaru, 5 Saham RI Ini Masuk MSCI Small Cap Index",2024/08/13,netral
"Harga Minyak Mentah Turun 0,6%, Ini Penyebabnya",2024/08/13,positif
Ini Bocoran Saham yang Paling Royal Bagi-Bagi Dividen,2024/08/13,netral
"IHSG Kembali Bergairah, Balik Ke 7.300-an Lagi",2024/08/13,positif
"Fed Rate Diyakini Segera Dipangkas, Rupiah Menguat ke Rp15.930/US$",2024/08/13,positif
OPEC Sebut Permintaan Minyak Anjlok Gegara China,2024/08/13,negatif
"Bursa Asia Gak Seragam, Nikkei Melesat 2%, Kospi Turun 0,2%",2024/08/13,negatif
Bos Bursa Blak-Blakan Penyebab IHSG Kurang Tenaga Tahun Ini,2024/08/13,netral
Rupiah Hari Ini Dibayangi Data Inflasi AS,2024/08/13,negatif
"IHSG Sudah Tipis Dekati 7.300, Saham Ini Malah Dibuang Asing",2024/08/13,negatif
"Paus Ini Setor Rp 200 Miliar ETH, Pasar Kripto Sambut Positif",2024/08/13,positif
"Jadi Orang Terkaya di RI, Ini Pemilik Seluruh Indomaret",2024/08/13,netral
"IHSG Dekati 7.300, Asing Kompak Incar Bank Mandiri (BMRI)",2024/08/13,positif
BIRD Pede Laba Tumbuh Double Digit di 2024,2024/08/14,positif
"Cemas Ancaman Resesi, Investor Kompak Bawa Kabur Uang ke Obligasi",2024/08/14,negatif
"Incar Gen Z, BRI Danareksa Luncurkan Platform Trading Versi Desktop",2024/08/14,positif
"Sempat Turun ke US$ 49.000, Bitcoin Bisa Jaga Tren Kenaikan Harga?",2024/08/14,netral
"Asing Borong Saham GOTO 3 Hari Beruntun, Segini Target Harganya",2024/08/14,positif
"BRI Danareksa Bakal Bawa 2-3 IPO di Kuartal IV, Nilainya Segini",2024/08/14,positif
"Tren Penurunan Suku Bunga Acuan Global Akan Segera Tiba, Benarkah?",2024/08/14,netral
"IHSG Cetak Rekor Harga Penutupan Tertinggi Baru di 7.436,04",2024/08/14,positif
"Jaksa Ungkap Aliran Dana Cuci Uang Harvey Moeis, Ada ke Sandra Dewi",2024/08/14,negatif
"Kinerja Membaik, Dapat PMN & Masuk MSCI, Saham WIKA Terbang 120%",2024/08/14,positif
"Inflasi AS Bawa Kabar Gembira, Dolar Anjlok ke Rp15.675/US$",2024/08/14,positif
"Terseret Kasus Timah, Ini Deretan Dosa Suami Sandra Dewi Harvey Moeis",2024/08/14,negatif
"IHSG Melesat 1%, Dekati Level Tertinggi Sepanjang Masa",2024/08/14,positif
